sample_id,nitrate,nitrite,ammonia,total_nitrogen_mixed_forms,soluble_reactive_phosphorus_srp,total_phosphorus_mixed_forms
W_702,480,20,70,1295,80,91
W_703,179,9,24,670,47,55
W_705,420,20,37,1030,70,75
W_707,28,4,17,505,37,45
W_709,93,4,15,520,41,48
W_714,58,3,15,505,37,52
W_717,19,1,11,450,38,46
W_718,2,NA,11,435,NA,6
W_719,1,NA,9,450,NA,6
W_720,1,1,11,490,NA,7
W_725,69,4,9,540,16,27
W_726,410,10,9,865,61,74
W_727,220,10,9,690,42,53
W_728,360,20,9,850,37,49
W_737,36,6,11,495,12,25
W_738,9,3,11,460,12,25
W_739,NA,NA,7,405,8,19
W_740,NA,NA,7,400,7,17
W_749,1,1,20,395,12,23
W_747,14,1,4,395,6,17
W_748,NA,1,4,410,5,15
W_750,122,1,7,400,9,20
W_759,134,2,7,530,33,47
W_762,38,2,7,410,7,14
W_773,44,2,9,435,8,14
W_767,280,10,4,365,3,9
W_770,290,10,20,375,7,13
W_778,47,2,9,450,5,13
W_781,39,2,4,430,6,13
W_784,48,2,9,395,9,15
W_787,34,2,9,400,8,16
W_790,NA,1,18,395,1,9
W_793,NA,NA,9,355,5,11
W_798,NA,NA,4,330,6,13
W_801,NA,NA,9,365,3,12
W_804,NA,NA,9,330,3,11
W_999,94,2,27,580,26,39
W_1002,89,2,27,530,26,38
W_1021,66,4,27,560,5,31
W_1024,56,12,29,520,23,32
W_1027,69,2,27,480,23,33
W_1030,160,2,14,505,23,34
W_1306,55,3,36,515,17,29
W_1310,4,1,14,410,7,18
W_1312,1,NA,11,470,3,11
W_1314,NA,NA,11,385,NA,9
W_1317,1,NA,11,365,7,12
W_1320,NA,1,14,355,NA,6
W_1322,9,NA,14,355,9,14
W_1325,6,NA,9,355,6,14
W_1328,6,NA,14,375,6,12
W_1331,23,1,16,365,2,11
W_1335,12,1,14,390,4,8
W_1338,10,2,14,300,2,5
W_1342,11,1,18,365,8,12
W_1345,2,NA,7,360,10,15
W_1353,NA,1,27,450,1,10
W_1350,NA,NA,18,350,4,12
W_1527,181,2,NA,615,31,46
W_1531,198,3,NA,645,42,55
W_1535,205,3,NA,630,45,60
W_1549,43,1,11,510,NA,35
W_1552,28,2,5,530,15,37
W_1555,194,2,7,640,36,59
W_1558,250,1,5,705,56,75
W_1566,270,2,7,750,66,85
W_1569,320,1,NA,775,70,89
W_1576,250,2,9,720,59,77
W_1579,220,1,2,645,57,77
W_1582,370,5,14,925,107,112
W_1585,240,1,5,660,55,71
W_1588,194,1,7,630,46,63
W_1592,163,2,14,580,37,53
W_1595,51,1,NA,730,68,84
W_1598,66,2,4,470,15,30
W_1601,24,1,2,410,8,19
W_1604,17,NA,4,410,3,14
W_1608,214,1,4,645,49,65
W_1610,215,3,11,650,47,64
W_1613,380,1,4,925,90,107
W_1616,220,2,9,640,61,80
W_1619,218,3,4,640,60,79
W_742,1,NA,10,375,8,15
W_809,NA,NA,9,355,1,9
W_812,NA,NA,4,370,4,11
W_1359,5,1,9,355,6,11
W_1364,3,1,46,345,6,11
W_1369,2,2,32,370,NA,41
W_1373,NA,NA,18,NA,NA,6
W_819,1,NA,4,315,3,11
W_822,NA,NA,4,340,7,15
W_825,NA,NA,4,380,6,14
W_828,NA,NA,2,310,3,10
W_836,NA,NA,7,360,5,11
W_839,NA,NA,9,340,4,10
W_842,NA,NA,9,350,3,8
W_1379,13,1,27,375,NA,21
W_1383,44,3,32,420,NA,28
W_1388,123,2,14,565,28,46
W_1392,143,2,18,550,NA,NA
W_1394,178,3,14,690,48,74
W_1397,182,3,9,665,49,69
W_868,NA,1,4,355,10,17
W_871,NA,1,7,390,17,23
W_874,NA,1,7,385,16,23
W_887,310,13,13,775,40,52
W_1401,250,NA,14,725,52,71
W_1403,230,NA,7,655,51,67
W_893,260,13,43,740,39,50
W_1406,142,7,16,580,33,48
W_1408,116,11,14,545,25,44
W_1410,65,5,14,480,28,44
W_1412,1,NA,5,325,2,16
W_1415,67,3,18,450,25,37
W_1417,81,9,14,475,28,43
W_1419,6,NA,9,345,13,22
W_1421,98,1,5,485,33,44
W_908,64,4,48,545,45,40
W_911,65,5,79,655,66,63
W_914,520,20,29,1920,120,107
W_917,48,10,92,730,84,79
W_920,230,NA,31,770,60,60
W_1424,5,1,9,335,16,23
W_1428,1,NA,NA,350,3,10
W_1430,NA,1,14,345,5,15
W_1432,NA,1,7,435,6,16
W_1426,NA,NA,5,335,5,12
W_925,48,16,48,550,38,38
W_929,44,18,53,600,40,41
W_935,240,NA,7,645,63,61
W_938,220,NA,5,625,63,57
W_941,111,18,18,565,49,47
W_1434,2,1,27,390,NA,9
W_1436,NA,NA,5,365,8,16
W_1438,NA,NA,2,350,3,10
W_1440,NA,NA,5,325,4,11
W_957,174,8,23,655,50,49
W_960,150,17,14,625,52,51
W_1443,NA,NA,2,345,4,12
W_1445,NA,NA,NA,325,2,11
W_1450,NA,NA,5,340,2,11
W_1453,NA,NA,16,385,1,10
W_1456,NA,NA,2,370,2,11
W_1459,NA,NA,2,350,6,17
W_967,105,11,66,815,77,71
W_691,550,20,69,1240,73,96
W_692,480,20,123,1540,83,108
W_693,9,2,16,480,40,52
W_694,1,NA,11,455,39,50
W_977,4,1,13,425,6,11
W_980,2,NA,15,420,4,9
W_983,210,NA,17,695,49,49
W_1480,1,NA,2,370,10,21
W_1483,1,NA,2,345,10,19
W_1477,NA,NA,7,355,8,18
W_987,75,6,37,575,35,36
W_990,47,8,39,530,33,35
W_993,50,12,48,545,38,40
W_1498,5,NA,9,420,1,12
W_1492,NA,NA,5,370,1,11
W_1495,NA,NA,NA,380,1,11
